Raw Data 		Experiment - 20171011_conc_LPS_Hannah01 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Standard	2	3	1	414240	71.87	1.75
A1	Standard	2	3	2	516120	71.9	1.79
A1	Standard	2	3	3	618020	71.9	1.81
A1	Standard	2	3	4	719930	71.89	1.82
A1	Standard	2	3	5	821830	71.89	1.84
A1	Standard	2	3	6	923720	71.89	1.84
A1	Standard	2	3	7	1025620	71.92	1.86
A1	Standard	2	3	8	1127520	71.92	1.87
A1	Standard	2	3	9	1229420	71.88	1.88
A1	Standard	2	3	10	1331320	71.91	1.88
A1	Standard	2	3	11	1433220	71.91	1.89
A1	Standard	2	3	12	1535120	71.88	1.90
A1	Standard	2	3	13	1637030	71.91	1.92
A1	Standard	2	3	14	1739040	71.91	1.93
A1	Standard	2	3	15	1840940	71.91	1.93
A1	Standard	2	3	16	1942920	71.9	1.95
A1	Standard	2	3	17	2044830	71.9	1.97
A1	Standard	2	3	18	2146730	71.9	1.99
A1	Standard	2	3	19	2248630	71.9	2.04
A1	Standard	2	3	20	2350530	71.9	2.11
A1	Standard	2	3	21	2452430	71.9	2.25
A1	Standard	2	3	22	2554330	71.9	2.52
A1	Standard	2	3	23	2656230	71.9	3.03
A1	Standard	2	3	24	2758140	71.9	3.97
A1	Standard	2	3	25	2860030	71.9	5.59
A1	Standard	2	3	26	2961930	71.9	8.06
A1	Standard	2	3	27	3063830	71.89	11.06
A1	Standard	2	3	28	3165730	71.89	14.09
A1	Standard	2	3	29	3267630	71.89	16.84
A1	Standard	2	3	30	3369530	71.89	19.36
A1	Standard	2	3	31	3471420	71.89	21.79
A1	Standard	2	3	32	3573330	71.92	23.90
A1	Standard	2	3	33	3675230	71.89	25.92
A1	Standard	2	3	34	3777130	71.89	27.72
A1	Standard	2	3	35	3879030	71.89	29.34
A1	Standard	2	3	36	3980930	71.92	30.82
A1	Standard	2	3	37	4082830	71.89	32.23
A1	Standard	2	3	38	4184730	71.92	33.50
A1	Standard	2	3	39	4286630	71.92	34.67
A1	Standard	2	3	40	4388530	71.92	35.76
A1	Standard	2	3	41	4490440	71.89	36.82
A1	Standard	2	3	42	4592340	71.92	37.77
A1	Standard	2	3	43	4694230	71.88	38.66
A1	Standard	2	3	44	4796140	71.88	39.44
A1	Standard	2	3	45	4898040	71.91	40.22
A1	Standard	3	3	1	4991610	64.93	54.30
A1	Standard	3	3	1	4992600	64.71	54.53
A1	Standard	3	3	1	4993590	64.42	54.82
A1	Standard	3	3	1	4994590	64.71	54.66
A1	Standard	3	3	1	4995580	65.19	54.41
A1	Standard	3	3	1	4996570	65.56	53.99
A1	Standard	3	3	1	4997570	65.78	53.52
A1	Standard	3	3	1	4998580	66.05	53.07
A1	Standard	3	3	1	4999590	66.32	52.61
A1	Standard	3	3	1	5000580	66.56	52.29
A1	Standard	3	3	1	5001580	66.77	51.80
A1	Standard	3	3	1	5002600	67	51.35
A1	Standard	3	3	1	5003610	67.27	50.89
A1	Standard	3	3	1	5004610	67.47	50.75
A1	Standard	3	3	1	5005610	67.65	50.17
A1	Standard	3	3	1	5006610	67.9	49.77
A1	Standard	3	3	1	5007610	68.13	49.39
A1	Standard	3	3	1	5008620	68.31	48.95
A1	Standard	3	3	1	5009620	68.51	48.69
