General:Pos	"General:Sample Name"	"General:Repl. Of"	"General:Filt. Comb."	"General:Target Name"	"Sample Preferences:Color"	"Abs Quant:Concentration"	"Rel Quant:Efficiency"	"Rel Quant:Combined Sample/Target type"
A1	Standard	A1	465-510	TLR3	$00FF8000	1.00E0	2.00	"Target Standard"
A2	Standard	A1	465-510	TLR3	clRed	1.00E0	2.00	"Target Standard"
A3	Standard	A1	465-510	TLR3	$0030D700	1.00E0	2.00	"Target Standard"
A4	Standard	A4	465-510	TLR3	clFuchsia	2.00E-1	2.00	"Target Standard"
A5	Standard	A4	465-510	TLR3	clGray	2.00E-1	2.00	"Target Standard"
A6	Standard	A4	465-510	TLR3	$0012D7FA	2.00E-1	2.00	"Target Standard"
A7	Standard	A7	465-510	TLR3	$00000097	4.00E-2	2.00	"Target Standard"
A8	Standard	A7	465-510	TLR3	$00FFFF0F	4.00E-2	2.00	"Target Standard"
A9	Standard	A7	465-510	TLR3	$00404000	4.00E-2	2.00	"Target Standard"
A10	Standard	A10	465-510	TLR3	$004080FF	8.00E-3	2.00	"Target Standard"
A11	Standard	A10	465-510	TLR3	$00FD0299	8.00E-3	2.00	"Target Standard"
A12	Standard	A10	465-510	TLR3	$0026C4B8	8.00E-3	2.00	"Target Standard"
A13	Standard	A13	465-510	TLR3	$00FF8000	1.60E-3	2.00	"Target Standard"
A14	Standard	A13	465-510	TLR3	clRed	1.60E-3	2.00	"Target Standard"
A15	Standard	A13	465-510	TLR3	$0030D700	1.60E-3	2.00	"Target Standard"
A16	H20	A16	465-510	TLR3	clFuchsia	""	2.00	"Target Negative"
A17	H20	A16	465-510	TLR3	clGray	""	2.00	"Target Negative"
A18	H20	A16	465-510	TLR3	$0012D7FA	""	2.00	"Target Negative"
A19	RT3	A19	465-510	TLR3	$00000097	""	2.00	"Target Negative"
A20	RT3	A19	465-510	TLR3	$00FFFF0F	""	2.00	"Target Negative"
A21	RT3	A19	465-510	TLR3	$00404000	""	2.00	"Target Negative"
A22	"#1 0 ug/ml LPS"	A22	465-510	TLR3	$004080FF	""	2.00	"Target Unknown"
A23	"#1 0 ug/ml LPS"	A22	465-510	TLR3	$00FD0299	""	2.00	"Target Unknown"
A24	"#1 0 ug/ml LPS"	A22	465-510	TLR3	$0026C4B8	""	2.00	"Target Unknown"
B1	"#2 0 ug/ml LPS"	B1	465-510	TLR3	$00FF8000	""	2.00	"Target Unknown"
B2	"#2 0 ug/ml LPS"	B1	465-510	TLR3	clRed	""	2.00	"Target Unknown"
B3	"#2 0 ug/ml LPS"	B1	465-510	TLR3	$0030D700	""	2.00	"Target Unknown"
B4	"#3 0 ug/ml LPS"	B4	465-510	TLR3	clFuchsia	""	2.00	"Target Unknown"
B5	"#3 0 ug/ml LPS"	B4	465-510	TLR3	clGray	""	2.00	"Target Unknown"
B6	"#3 0 ug/ml LPS"	B4	465-510	TLR3	$0012D7FA	""	2.00	"Target Unknown"
B7	"#4 10 ug/ml LPS"	B7	465-510	TLR3	$00000097	""	2.00	"Target Unknown"
B8	"#4 10 ug/ml LPS"	B7	465-510	TLR3	$00FFFF0F	""	2.00	"Target Unknown"
B9	"#4 10 ug/ml LPS"	B7	465-510	TLR3	$00404000	""	2.00	"Target Unknown"
B10	"#5 10 ug/ml LPS"	B10	465-510	TLR3	$004080FF	""	2.00	"Target Unknown"
B11	"#5 10 ug/ml LPS"	B10	465-510	TLR3	$00FD0299	""	2.00	"Target Unknown"
B12	"#5 10 ug/ml LPS"	B10	465-510	TLR3	$0026C4B8	""	2.00	"Target Unknown"
B13	"#6 10 ug/ml LPS"	B13	465-510	TLR3	$00FF8000	""	2.00	"Target Unknown"
B14	"#6 10 ug/ml LPS"	B13	465-510	TLR3	clRed	""	2.00	"Target Unknown"
B15	"#6 10 ug/ml LPS"	B13	465-510	TLR3	$0030D700	""	2.00	"Target Unknown"
B16	"#7 50 ug/ml LPS"	B16	465-510	TLR3	clFuchsia	""	2.00	"Target Unknown"
B17	"#7 50 ug/ml LPS"	B16	465-510	TLR3	clGray	""	2.00	"Target Unknown"
B18	"#7 50 ug/ml LPS"	B16	465-510	TLR3	$0012D7FA	""	2.00	"Target Unknown"
B19	"#8 50 ug/ml LPS"	B19	465-510	TLR3	$00000097	""	2.00	"Target Unknown"
B20	"#8 50 ug/ml LPS"	B19	465-510	TLR3	$00FFFF0F	""	2.00	"Target Unknown"
B21	"#8 50 ug/ml LPS"	B19	465-510	TLR3	$00404000	""	2.00	"Target Unknown"
B22	"#9 50 ug/ml LPS"	B22	465-510	TLR3	$004080FF	""	2.00	"Target Unknown"
B23	"#9 50 ug/ml LPS"	B22	465-510	TLR3	$00FD0299	""	2.00	"Target Unknown"
B24	"#9 50 ug/ml LPS"	B22	465-510	TLR3	$0026C4B8	""	2.00	"Target Unknown"
C1	"#10 100 ug/ml LPS"	C1	465-510	TLR3	$00FF8000	""	2.00	"Target Unknown"
C2	"#10 100 ug/ml LPS"	C1	465-510	TLR3	clRed	""	2.00	"Target Unknown"
C3	"#10 100 ug/ml LPS"	C1	465-510	TLR3	$0030D700	""	2.00	"Target Unknown"
C4	"#11 100 ug/ml LPS"	C4	465-510	TLR3	clFuchsia	""	2.00	"Target Unknown"
C5	"#11 100 ug/ml LPS"	C4	465-510	TLR3	clGray	""	2.00	"Target Unknown"
C6	"#11 100 ug/ml LPS"	C4	465-510	TLR3	$0012D7FA	""	2.00	"Target Unknown"
C7	"#12 100 ug/ml LPS"	C7	465-510	TLR3	$00000097	""	2.00	"Target Unknown"
C8	"#12 100 ug/ml LPS"	C7	465-510	TLR3	$00FFFF0F	""	2.00	"Target Unknown"
C9	"#12 100 ug/ml LPS"	C7	465-510	TLR3	$00404000	""	2.00	"Target Unknown"
C10	Standard	C10	465-510	IRF3	$004080FF	1.00E0	2.00	"Target Standard"
C11	Standard	C10	465-510	IRF3	$00FD0299	1.00E0	2.00	"Target Standard"
C12	Standard	C10	465-510	IRF3	$0026C4B8	1.00E0	2.00	"Target Standard"
C13	Standard	C13	465-510	IRF3	$00FF8000	2.00E-1	2.00	"Target Standard"
C14	Standard	C13	465-510	IRF3	clRed	2.00E-1	2.00	"Target Standard"
C15	Standard	C13	465-510	IRF3	$0030D700	2.00E-1	2.00	"Target Standard"
C16	Standard	C16	465-510	IRF3	clFuchsia	4.00E-2	2.00	"Target Standard"
C17	Standard	C16	465-510	IRF3	clGray	4.00E-2	2.00	"Target Standard"
C18	Standard	C16	465-510	IRF3	$0012D7FA	4.00E-2	2.00	"Target Standard"
